"Timestamp","Would you ever put ketchup on your pizza?","What country/state are you from?"
"2017/10/30 9:03:33 AM CST","Oh god no, that's disgusting","the state of being"
"2017/10/30 9:06:11 AM CST","Oh god no, that's disgusting","Nebraska "
"2017/10/30 9:12:50 AM CST","Oh god no, that's disgusting","USA/California"
"2017/10/30 9:13:51 AM CST","I have no strong feelings","Minnesota"
"2017/10/30 9:14:17 AM CST","Oh god no, that's disgusting","Utah "
"2017/10/30 9:23:37 AM CST","Oh god no, that's disgusting","Minnesota"
"2017/10/30 9:25:08 AM CST","Oh god no, that's disgusting","New Mexico"
"2017/10/30 9:29:23 AM CST","Oh god no, that's disgusting","Chicago"
"2017/10/30 9:30:57 AM CST","Oh god no, that's disgusting","Washington State"
"2017/10/30 9:40:14 AM CST","Oh god no, that's disgusting","Minnesota"
"2017/10/30 9:43:27 AM CST","Oh god no, that's disgusting","Bolivia/Italy"
"2017/10/30 9:45:14 AM CST","Oh god no, that's disgusting","Minnesota"
"2017/10/30 9:45:39 AM CST","Oh god no, that's disgusting","Minnesota"
"2017/10/30 9:46:08 AM CST","Oh god no, that's disgusting","Illinois"
"2017/10/30 9:51:15 AM CST","Oh god no, that's disgusting","U.S., TN"
"2017/10/30 9:53:24 AM CST","Oh god no, that's disgusting","Minnesota"
"2017/10/30 9:56:04 AM CST","Oh god no, that's disgusting","USA/ Washington"
"2017/10/30 9:56:18 AM CST","Oh god no, that's disgusting","Poland"
"2017/10/30 10:01:45 AM CST","Oh god no, that's disgusting","IL"
"2017/10/30 10:03:58 AM CST","Oh god no, that's disgusting","Minnesota"
"2017/10/30 10:04:54 AM CST","Oh god no, that's disgusting","MN"
"2017/10/30 10:12:18 AM CST","I have no strong feelings","Minnesota"
"2017/10/30 10:13:10 AM CST","Oh god no, that's disgusting","US"
"2017/10/30 10:16:39 AM CST","Oh god no, that's disgusting","Bangladesh"
"2017/10/30 10:17:33 AM CST","Oh god no, that's disgusting","Wisconsin"
"2017/10/30 10:40:01 AM CST","I have no strong feelings","Wisconsin"
"2017/10/30 10:43:19 AM CST","Oh god no, that's disgusting","Maine"
"2017/10/30 10:47:28 AM CST","Oh god no, that's disgusting","USA/Illinois"
"2017/10/30 10:50:19 AM CST","Oh god no, that's disgusting","USA"
"2017/10/30 10:52:18 AM CST","I have no strong feelings","CT"
"2017/10/30 10:53:50 AM CST","I have no strong feelings","Washington"
"2017/10/30 11:02:16 AM CST","I have no strong feelings","Vietnam"
"2017/10/30 11:31:36 AM CST","Oh god no, that's disgusting","IL. Also, that's the one of the most vile things I've ever heard. Although, I'd dip my pizza in milk, keep it low key tho."
"2017/10/30 11:51:05 AM CST","Oh god no, that's disgusting","MN"
"2017/10/30 11:55:53 AM CST","I have no strong feelings","California"
"2017/10/30 11:58:26 AM CST","Oh god no, that's disgusting","Illinois, USA"
"2017/10/30 12:07:17 PM CST","Oh god no, that's disgusting","India"
"2017/10/30 12:46:16 PM CST","Oh god no, that's disgusting","Colorado"
"2017/10/30 1:04:37 PM CST","I have no strong feelings","Rwanda"
"2017/10/30 1:20:00 PM CST","Oh god no, that's disgusting","MN"
"2017/10/30 1:38:58 PM CST","Oh god no, that's disgusting","America"
"2017/10/30 1:48:37 PM CST","I have no strong feelings","South Dakota"
"2017/10/30 1:49:38 PM CST","I have no strong feelings","Texas/Minnesota"
"2017/10/30 1:50:31 PM CST","Oh god no, that's disgusting","USA"
"2017/10/30 2:02:41 PM CST","Oh god no, that's disgusting","Texas"
"2017/10/30 2:43:10 PM CST","Oh god no, that's disgusting","California"
"2017/10/30 2:51:31 PM CST","Oh god no, that's disgusting","WI"
"2017/10/30 2:53:40 PM CST","I have no strong feelings","Washington, DC "
"2017/10/30 3:07:24 PM CST","Oh god no, that's disgusting","Louisiana"
"2017/10/30 3:09:31 PM CST","I have no strong feelings","Egypt"
"2017/10/30 3:15:39 PM CST","Oh god no, that's disgusting","minnesota "
"2017/10/30 3:24:39 PM CST","Oh god no, that's disgusting","Usa (no specific state)"
"2017/10/30 3:54:05 PM CST","I have no strong feelings","Illinois"
"2017/10/30 5:27:32 PM CST","I have no strong feelings","Nepal"
"2017/10/30 6:31:51 PM CST","I have no strong feelings","Missouri "
"2017/10/30 6:51:19 PM CST","I have no strong feelings","NY"
"2017/10/30 8:07:40 PM CST","I have no strong feelings","MN"
"2017/10/30 8:55:23 PM CST","Oh god no, that's disgusting","Minnesota"
"2017/10/30 9:25:43 PM CST","Of course! I do it all the time","Minnesota"
"2017/10/31 11:34:15 AM CST","I have no strong feelings","Illinois"
"2017/10/31 8:47:27 PM CST","Oh god no, that's disgusting","Wisconsin"
"2017/10/31 11:27:01 PM CST","Oh god no, that's disgusting","china"
