Time (hour),Responses
5.647222222222222,2
5.760277777777778,3
6.01,4
6.016111111111111,5
6.038611111111111,6
6.0775,7
6.081944444444444,8
6.0986111111111105,9
6.128333333333333,10
6.139444444444445,11
6.1755555555555555,12
6.180000000000001,13
6.202777777777778,14
6.400833333333334,15
6.4425,16
6.466388888888889,17
6.563611111111111,18
6.7988888888888885,19
6.803333333333333,20
6.8175,21
6.870833333333334,22
6.905555555555556,23
6.905833333333334,24
6.919722222222222,25
7.060277777777777,26
7.083333333333333,27
7.091111111111111,28
7.1241666666666665,29
7.190833333333334,30
7.191666666666667,31
7.196666666666667,32
7.205277777777778,33
7.240277777777778,34
7.248333333333333,35
7.298333333333333,36
7.3,37
7.335833333333333,38
7.3549999999999995,39
7.358055555555556,40
7.361111111111111,41
7.405,42
7.406388888888889,43
7.4675,44
7.529722222222222,45
7.569444444444445,46
7.572777777777778,47
7.591944444444444,48
7.613333333333333,49
7.701944444444445,50
7.790555555555556,51
7.81,52
7.842499999999999,53
7.916388888888889,54
7.9816666666666665,55
8.014166666666666,56
8.014722222222222,57
8.026944444444446,58
8.042222222222222,59
8.044722222222221,60
8.046111111111111,61
8.082777777777778,62
8.111944444444443,63
8.113888888888889,64
8.170833333333333,65
8.177222222222222,66
8.205,67
8.291666666666666,68
8.293611111111112,69
8.295555555555556,70
8.313055555555556,71
8.429166666666665,72
8.569722222222222,73
8.67,74
8.7675,75
8.778055555555556,76
8.800555555555556,77
8.866666666666667,78
8.911944444444444,79
8.96861111111111,80
9.01,81
9.045,82
9.059166666666668,83
9.103055555555555,84
9.213888888888889,85
9.230833333333333,86
9.238055555555555,87
9.393611111111111,88
9.418888888888889,89
9.489722222222222,90
9.515833333333333,91
9.670555555555556,92
9.724166666666667,93
9.75388888888889,94
9.760833333333334,95
9.76888888888889,96
9.854166666666666,97
9.889999999999999,98
9.934444444444445,99
9.938333333333334,100
10.029166666666667,101
10.066111111111113,102
10.081666666666667,103
10.205,104
10.219444444444445,105
10.277500000000002,106
10.2925,107
10.666944444444443,108
10.721944444444444,109
10.79111111111111,110
10.838611111111112,111
10.871666666666668,112
10.897222222222222,113
11.037777777777778,114
11.526666666666667,115
11.851388888888888,116
11.931388888888888,117
11.973888888888888,118
12.12138888888889,119
12.771111111111113,120
13.076944444444445,121
13.333333333333334,122
13.649444444444445,123
13.81027777777778,124
13.827222222222222,125
13.841944444444445,126
14.044722222222221,127
14.719444444444445,128
14.858611111111111,129
14.894444444444444,130
15.123333333333333,131
15.158611111111112,132
15.260833333333334,133
15.410833333333334,134
15.901388888888889,135
17.45888888888889,136
18.530833333333334,137
18.85527777777778,138
20.12777777777778,139
20.923055555555557,140
21.428611111111113,141
