Timestamp,Would you ever put ketchup on your pizza?,What country/state are you from?
2017/10/30 1:04:37 PM CST,meh,rwanda
2017/10/30 1:20:00 PM CST,hate,Minnesota
2017/10/30 1:38:58 PM CST,hate,usa
2017/10/30 1:48:37 PM CST,meh,South Dakota
2017/10/30 1:49:38 PM CST,meh,Texas
2017/10/30 1:50:31 PM CST,hate,usa
2017/10/30 2:02:41 PM CST,hate,Texas
2017/10/30 2:43:10 PM CST,hate,California
2017/10/30 2:51:31 PM CST,hate,Wisconsin
2017/10/30 2:53:40 PM CST,meh,Washington
2017/10/30 3:07:24 PM CST,hate,Louisiana
2017/10/30 3:09:31 PM CST,meh,egypt
2017/10/30 3:15:39 PM CST,hate,Minnesota
2017/10/30 3:24:39 PM CST,hate,usa
2017/10/30 3:54:05 PM CST,meh,Illinois
2017/10/30 5:27:32 PM CST,meh,nepal
2017/10/30 6:31:51 PM CST,meh,Missouri
2017/10/30 6:51:19 PM CST,meh,New York
2017/10/30 8:07:40 PM CST,meh,Minnesota
2017/10/30 8:55:23 PM CST,hate,Minnesota
2017/10/30 9:25:43 PM CST,love,Minnesota
2017/10/31 11:34:15 AM CST,meh,Illinois
2017/10/31 8:47:27 PM CST,hate,Wisconsin
2017/10/31 11:27:01 PM CST,hate,china
